?class, ?actions
"PhysicalObject","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"WipeCloth","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"CleaningRodBottomSegment","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"CleaningRodSegment","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"ButtStock","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"PivotPin","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Pin","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"WornOutBoreBrush","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Selector","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release, SelectSwitchPosition]"
"BoreBrush","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"M4","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"LowerReceiverExtension","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"ChamberBrush","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"CleaningRodMiddleSegment","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"ChargingHandle","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Magazine","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Round","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"CleaningRod","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Buffer","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Liquid","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Sling","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"BoltCam","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"BufferRetainer","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Casing","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"CleaningRodTopSegment","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"SlingLoop","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Bolt","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"FiringPinRetainingPin","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"BoltCarrierGroup","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"UpperHandGuard","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"Screw","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, LoosenScrew, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release, TightenScrew]"
"CleaningRodHandle","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
"ButtStockLockLever","[Attach, Close, Detach, Extract, Insert, Inspect, Lift, Open, Point, Press, Pull, PullAndHold, Push, PushAndHold, Release]"
